Type,PROVIDER NAME,StartDateTime,DateCreated,ID,ExternalID,FareAmount,GratuityAmount,SurchargeAmount,ExtraFareAmount,TollAmount,TotalAmount,PaymentType,StartDateTime,EndDateTime,OriginStreetNumber,OriginStreetName,OriginCity,OriginState,OriginZip,OriginLatitude,OriginLongitude,DestinationStreetNumber,DestinationStreetName,DestinationCity,DestinationState,DestinationZip,DestinationLatitude,DestinationLongitude,Milage,Duration
1,UVC,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:30:48.7100000 +00:00,E227__73538__2017-01-01T00:30:48.710_26359371,26359371,15.4,0,0.25,1,0,16.65,2,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:17:00.0000000 +00:00,NULL,Potomac River Fwy & I-66,Washington,DC,0,38.89646,-77.05475,NULL,1378 K St Se,Washington,DC,20003,38.87848,-76.98608,5.1,14
1,UVC,2017-01-01 00:06:00.0000000 +00:00,2017-01-01 00:30:48.8500000 +00:00,C774__72672__2017-01-01T00:30:48.850_26359372,26359372,11.89,0,0.25,0,0,12.14,2,2017-01-01 00:06:00.0000000 +00:00,2017-01-01 00:18:00.0000000 +00:00,NULL,Potomac River Fwy & I-66,Washington,DC,0,38.89654,-77.05462,NULL,700 2nd St Ne,Washington,DC,20002,38.89924,-77.00352,3.5,12
1,UVC,2017-01-01 00:10:00.0000000 +00:00,2017-01-01 00:30:48.9600000 +00:00,G792__73963__2017-01-01T00:30:48.960_26359373,26359373,14.86,3.02,0.25,0,0,18.13,1,2017-01-01 00:10:00.0000000 +00:00,2017-01-01 00:18:00.0000000 +00:00,NULL,200 Constitution Ave NW,Washington,DC,20210,38.89227,-77.01498,NULL,832-900 S ORME ST,Arlington,VA,22204,38.8674,-77.07246,5.3,8
1,UVC,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:30:49.1033333 +00:00,B883__74847__2017-01-01T00:30:49.103_26359374,26359374,11.35,0,0.25,0,0,11.6,2,2017-01-01 00:03:00.0000000 +00:00,2017-01-01 00:19:00.0000000 +00:00,NULL,2700 F St NW,Washington,DC,20566,38.89673,-77.0551,NULL,2215-2251 20TH ST NW,WASHINGTON,DC,20009,38.91864,-77.04591,2.4,16
1,UVC,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:30:49.2466667 +00:00,B851__74136__2017-01-01T00:30:49.247_26359375,26359375,11.89,3.04,0.25,0,0,15.18,1,2017-01-01 00:08:00.0000000 +00:00,2017-01-01 00:19:00.0000000 +00:00,NULL,1800-1810 Columbia Rd NW,Washington,DC,20009,38.92215,-77.04323,NULL,5307 Connecticut Ave Nw,Washington,DC,20015,38.95952,-77.0723,3.3,11
1,UVC,2017-01-01 00:16:00.0000000 +00:00,2017-01-01 00:30:49.3800000 +00:00,D404__74609__2017-01-01T00:30:49.380_26359376,26359376,4.87,0,0.25,1,0,6.12,2,2017-01-01 00:16:00.0000000 +00:00,2017-01-01 00:19:00.0000000 +00:00,NULL,1300 CONNECTICUT AVE NW,Washington,DC,20036,38.90747,-77.04236,NULL,2067-2099 T St NW,Washington,DC,20009,38.9162,-77.0456,0.7,3
1,UVC,2017-01-01 00:16:00.0000000 +00:00,2017-01-01 00:30:49.5200000 +00:00,C938__79264__2017-01-01T00:30:49.520_26359377,26359377,4.87,0,0.25,1,0,6.12,2,2017-01-01 00:16:00.0000000 +00:00,2017-01-01 00:20:00.0000000 +00:00,NULL,3800 14th St NW,Washington,DC,20011,38.93804,-77.03286,NULL,822 Princeton Pl Nw,Washington,DC,20010,38.93513,-77.02495,0.5,4
1,UVC,2017-01-01 00:05:00.0000000 +00:00,2017-01-01 00:30:49.7000000 +00:00,k265__78406__2017-01-01T00:30:49.700_26359378,26359378,13.51,0,0.25,0,0,13.76,2,2017-01-01 00:05:00.0000000 +00:00,2017-01-01 00:18:00.0000000 +00:00,NULL,300-324 Fort Totten Station,Washington,DC,20011,38.95241,-77.0032,NULL,600 Beacon Rd,Silver Spring,MD,20903,39.00607,-76.98469,4.4,13
1,UVC,2017-01-01 00:06:00.0000000 +00:00,2017-01-01 00:30:49.8000000 +00:00,B803__77155__2017-01-01T00:30:49.800_26359379,26359379,11.62,0,0.25,0,0,11.87,2,2017-01-01 00:06:00.0000000 +00:00,2017-01-01 00:20:00.0000000 +00:00,NULL,1011 Rittenhouse St NW,Washington,DC,20011,38.96499,-77.02778,NULL,3686-3698 13th St NW,Washington,DC,20010,38.93611,-77.02985,3,14
1,UVC,2017-01-01 00:16:00.0000000 +00:00,2017-01-01 00:30:49.9100000 +00:00,E278__80067__2017-01-01T00:30:49.910_26359380,26359380,5.41,0,0.25,1,0,6.66,1,2017-01-01 00:16:00.0000000 +00:00,2017-01-01 00:19:00.0000000 +00:00,NULL,404 7TH ST NW,Washington,DC,20004,38.89501,-77.02208,NULL,703 CAPITOL SQUARE PL SW,Washington,DC,20024,38.88209,-77.02216,0.8,3
1,UVC,2017-01-01 00:12:00.0000000 +00:00,2017-01-01 00:30:50.0166667 +00:00,B645__74741__2017-01-01T00:30:50.017_26359381,26359381,8.65,3,0.25,1,0,12.9,1,2017-01-01 00:12:00.0000000 +00:00,2017-01-01 00:20:00.0000000 +00:00,NULL,1216 Connecticut Ave Nw,Washington,DC,20036,38.90596,-77.04144,NULL,3418 CONNECTICUT AVE NW,Washington,DC,20008,38.93482,-77.0581,2.1,8
1,UVC,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:30:50.1533333 +00:00,F778__74575__2017-01-01T00:30:50.153_26359382,26359382,14.05,3.06,0.25,1,0,18.36,1,2017-01-01 00:04:00.0000000 +00:00,2017-01-01 00:20:00.0000000 +00:00,NULL,1701-1801 Calvert St NW,Washington,DC,20009,38.92328,-77.04383,NULL,3300 McKinley St NW,Washington,DC,20015,38.96487,-77.06657,3.9,16
1,UVC,2017-01-01 00:11:00.0000000 +00:00,2017-01-01 00:30:50.3200000 +00:00,E332__74755__2017-01-01T00:30:50.320_26359383,26359383,13.24,2.7,0.25,0,0,16.19,1,2017-01-01 00:11:00.0000000 +00:00,2017-01-01 00:20:00.0000000 +00:00,NULL,1010 Whitehurst Fwy NW,Washington,DC,20007,38.90236,-77.06036,NULL,1998 S Eads St,Arlington,VA,22202,38.85571,-77.05363,4.4,9
1,UVC,2017-01-01 00:01:00.0000000 +00:00,2017-01-01 00:30:50.4900000 +00:00,B660__82886__2017-01-01T00:30:50.490_26359384,26359384,9.46,0,0.25,1,0,10.71,2,2017-01-01 00:01:00.0000000 +00:00,2017-01-01 00:21:00.0000000 +00:00,NULL,1601-1605 14th St NW,Washington,DC,20009,38.91128,-77.03183,NULL,1413 Crittenden St Nw,Washington,DC,20011,38.94722,-77.0337,1.6,20
1,UVC,2017-01-01 00:11:00.0000000 +00:00,2017-01-01 00:30:50.6900000 +00:00,E282__76690__2017-01-01T00:30:50.690_26359385,26359385,8.65,0,0.25,0,0,8.9,2,2017-01-01 00:11:00.0000000 +00:00,2017-01-01 00:21:00.0000000 +00:00,NULL,2001 10th St Nw,Washington,DC,20001,38.91725,-77.02594,NULL,324-356 W St NE,Washington,DC,20002,38.91923,-77.0011,1.5,10
